stop_id,stop_name,arrival_time,stop_sequence,direction_id,route_short_name,route_long_name,route_type
1805,Pont Marie (Cité des Arts),77160,13,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1966,Châtelet,77220,14,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1806,Pont Neuf,77340,15,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1774,Palais-Royal (Musée du Louvre),77400,16,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1757,Pyramides,77460,17,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1847,Opéra,77580,18,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1971,Chaussée d'Antin (La Fayette),77700,19,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1849,Le Peletier,77760,20,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
2015,Cadet,77820,21,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1800,Poissonnière,77880,22,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1954,Gare de l'Est (Verdun),78000,23,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
2085,Château Landon,78060,24,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1860,Louis Blanc,78180,25,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1676,Stalingrad,78240,26,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1703,Riquet,78300,27,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
2080,Crimée,78360,28,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1985,Corentin-Cariou,78420,29,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1744,Porte de la Villette,78540,30,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
2055,Aubervilliers Pantin (4 Chemins),78660,31,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1944,Fort d'Aubervilliers,78780,32,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1911,La Courneuve-8-Mai-1945,78900,33,1,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Retour,1
1911,La Courneuve-8-Mai-1945,73020,1,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1944,Fort d'Aubervilliers,73140,2,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
2055,Aubervilliers Pantin (4 Chemins),73260,3,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1744,Porte de la Villette,73380,4,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1985,Corentin-Cariou,73500,5,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
2080,Crimée,73560,6,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1703,Riquet,73620,7,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1676,Stalingrad,73680,8,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1860,Louis Blanc,73740,9,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
2085,Château Landon,73860,10,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1954,Gare de l'Est (Verdun),73920,11,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1800,Poissonnière,74040,12,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
2015,Cadet,74100,13,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1849,Le Peletier,74160,14,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1971,Chaussée d'Antin (La Fayette),74220,15,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1847,Opéra,74340,16,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1757,Pyramides,74460,17,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1774,Palais-Royal (Musée du Louvre),74520,18,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1806,Pont Neuf,74580,19,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1966,Châtelet,74700,20,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1805,Pont Marie (Cité des Arts),74760,21,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1681,Sully-Morland,74820,22,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1907,Jussieu,74940,23,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1649,Place Monge (Jardin des Plantes),75000,24,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
2020,Censier-Daubenton,75060,25,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1854,Les Gobelins,75180,26,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
1648,Place d'Italie,75240,27,0,7,(LA COURNEUVE - 8 MAI 1945 <-> VILLEJUIF-L. ARAGON / MAIRIE D'IVRY) - Aller,1
